0;222;23.90;63.00;491;0.019

0;253;24.90;63.00;472;-0.004

0;190;31.50;73.00;484;-0.003

0;591;34.50;73.00;439;0.415

0;571;34.50;73.00;439;-0.004

0;592;34.50;73.00;437;-0.003

51;572;34.50;73.00;495;28.283

108;185;34.30;74.00;495;28.149

155;183;34.30;74.00;495;28.079

185;184;34.20;75.00;495;28.001

233;183;34.00;75.00;495;27.976

275;185;33.90;78.00;495;27.930

313;185;33.90;77.00;495;27.873

348;183;33.60;73.00;497;27.846

407;185;33.60;77.00;497;27.805

463;185;33.60;75.00;497;27.788

515;184;33.60;74.00;497;27.764

571;184;33.40;75.00;497;27.740

612;182;33.30;75.00;496;27.689

635;182;33.20;74.00;496;27.674

664;183;33.10;74.00;496;27.648

697;183;33.00;74.00;498;27.616

727;182;32.60;74.00;498;27.589

756;184;32.60;77.00;500;27.564

793;183;32.80;75.00;498;27.544

0;189;29.70;71.00;495;0.002

